,mes,ano,ano_mes,estoque,exportacao,processamento,compra_liquida,saldo,producao,chicago_cbot_u$/t,fob_porto_paranagua_u$/t,maringa_r$/saca,mogiana_r$/saca,passofundo_r$/saca,rondonopolis_r$/saca
247,Ago,2007,2007-08-01,10572.53262,2674.0,2989.101646,891.0988434,5800.529817399999,58726.0,308.7762734,319.9836235,33.66666667,33.13333333,33.58333333,31.66666667
248,Set,2007,2007-09-01,8635.115652,1817.0,2710.956928,773.539957,4880.698681000002,58726.0,354.501343,368.2808717,38.33333333,38.33333333,37.16666667,36.0
249,Out,2007,2007-10-01,6576.467377,2025.0,2662.10036,603.4520842,2492.8191012,58726.0,353.3989807,382.3359911,39.83333333,40.16666667,38.33333333,36.5
250,Nov,2007,2007-11-01,4721.604587,788.0,2483.400049,628.5372597,2078.7417977000005,58726.0,391.5912412,390.4429471,42.5,42.7,40.24,38.36
251,Dez,2007,2007-12-01,3258.72133,519.0,2314.482624,851.5993666,1276.8380725999996,58726.0,431.8810522,432.2485063,44.06666667,44.5,42.66666667,39.66666667
252,Jan,2008,2008-01-01,2027.061211,599.607207,1844.581261,612.9211417,195.7938846999998,59936.0,459.317625,465.1968906,46.375,45.25,45.375,40.25
253,Fev,2008,2008-02-01,4893.516781,425.0,2017.847136,4884.363917,7335.0335620000005,59936.0,512.5984695,497.9003055,46.75,46.025,48.0,42.125
254,Mar,2008,2008-03-01,12982.53611,1404.0,2629.516383,10718.53572,19667.555447,59936.0,504.8819334,488.713953,44.625,44.875,45.375,39.75
255,Abr,2008,2008-04-01,18470.32123,3346.0,2970.74192,8458.527041,20612.106351000002,59936.0,482.0997792,468.1365234,43.625,44.125,45.125,38.45
256,Mai,2008,2008-05-01,18395.58702,4442.0,3141.079686,3066.345469,13878.852802999998,59936.0,495.3281268,513.7008318,43.5,43.25,44.0,39.0
257,Jun,2008,2008-06-01,16548.04927,3544.0,3096.183987,1248.646244,11156.511526999999,59936.0,543.7402045,543.8779998,50.25,48.75,51.125,45.625
258,Jul,2008,2008-07-01,13304.13065,3982.0,3253.986551,10.06793035,6078.212029349999,59936.0,556.5276072,552.4856121,50.75,49.75,50.75,46.25
259,Ago,2008,2008-08-01,10747.82412,2358.0,2949.330977,393.0244475,5833.5175905,59936.0,471.5125079,492.6411187,44.125,44.125,45.125,39.625
260,Set,2008,2008-09-01,8318.147988,1862.0,2754.105985,324.4298492,4026.4718522000003,59936.0,436.8569931,460.0066014,45.75,45.375,45.75,40.9
261,Out,2008,2008-10-01,6261.691475,1062.0,2781.753114,725.2966013,3143.2349623,59936.0,340.5610531,371.1516069,43.5,41.5,44.375,39.375
262,Nov,2008,2008-11-01,4298.483661,724.0,2648.985302,685.7774873,1611.2758463,59936.0,323.2371233,357.0429005,44.16666667,41.5,45.0,39.5
263,Dez,2008,2008-12-01,2430.076032,750.0,2237.104444,368.696815,-188.33159699999987,59936.0,325.8858549,353.1693219,44.0,42.83333333,45.0,39.33333333
264,Jan,2009,2009-01-01,1991.341991,614.533775,1414.364928,975.6308871,938.0741751,57383.0,360.5949568,387.2966214,48.5,46.16666667,48.83333333,42.0
265,Fev,2009,2009-02-01,4826.890568,689.0,2298.751329,5134.641898,6973.781137,57383.0,344.3657341,364.5757096,47.5,44.5,50.0,39.83333333
266,Mar,2009,2009-03-01,11034.16321,2643.0,2752.922368,8960.195012,14598.435854000003,57383.0,335.7305627,355.6955688,44.5,42.33333333,44.66666667,38.16666667
267,Abr,2009,2009-04-01,16257.91908,4493.0,3000.018019,8223.77389,16988.674951,57383.0,378.1791665,392.785467,47.0,45.125,47.625,41.25
268,Mai,2009,2009-05-01,16050.48345,4679.0,3277.173406,3069.737776,11164.047820000002,57383.0,422.7559421,438.9239225,49.83333333,46.83333333,50.83333333,44.33333333
269,Jun,2009,2009-06-01,13264.13379,6174.0,3199.167843,412.8181806,4303.784127599999,57383.0,443.838621,461.0171002,49.83333333,46.16666667,50.0,44.0
270,Jul,2009,2009-07-01,10618.23451,3347.0,2993.457929,347.5586474,4625.335228399999,57383.0,391.3018711,404.5302187,47.75,44.375,47.3,42.25
271,Ago,2009,2009-08-01,7805.543393,2980.0,2896.171213,83.48009631,2012.8522763099995,57383.0,382.9560698,461.4993837,47.5,44.83333333,47.0,43.16666667
272,Set,2009,2009-09-01,5846.802926,1830.0,2369.148918,410.4084513,2058.0624593000002,57383.0,365.7132862,445.634553,46.25,44.625,45.375,42.075
273,Out,2009,2009-10-01,3892.696245,723.0,2370.278884,416.1722024,1215.5895634000003,57383.0,350.8727337,426.2008242,45.16666667,44.16666667,44.33333333,40.0
274,Nov,2009,2009-11-01,2300.326594,186.0,2145.678943,553.3092918,521.9569428000004,57383.0,356.3730623,435.8350114,45.66666667,44.66666667,44.83333333,40.66666667
275,Dez,2009,2009-12-01,1057.346431,203.0,1709.135421,466.1552582,-388.6337318000001,57383.0,379.5065945,452.9974145,43.66666667,44.0,43.33333333,39.16666667
276,Jan,2010,2010-01-01,1769.245691,93.0,1767.264378,2479.163638,2388.144951,68919.0,375.7218173,411.2730014,32.4,39.53,39.35333333,32.39
