,datetime,symbol,open,high,low,close,ano,mes
286,1996-06-23,USDBRL,1.003,1.01,0.9975,1.006,1996,6
287,1996-06-30,USDBRL,1.005,1.015,1.0047,1.0047,1996,6
288,1996-07-07,USDBRL,1.005,1.016,1.0047,1.016,1996,7
289,1996-07-14,USDBRL,1.0075,1.018,1.0047,1.018,1996,7
290,1996-07-21,USDBRL,1.0074,1.018,1.0074,1.01,1996,7
291,1996-07-28,USDBRL,1.0103,1.024,1.0103,1.024,1996,7
292,1996-08-04,USDBRL,1.0092,1.0205,1.0092,1.0205,1996,8
293,1996-08-11,USDBRL,1.012,1.0128,1.0112,1.0128,1996,8
294,1996-08-18,USDBRL,1.0133,1.0168,1.0133,1.0168,1996,8
295,1996-08-25,USDBRL,1.0205,1.0205,1.0158,1.017,1996,8
296,1996-09-01,USDBRL,1.017,1.017,1.002,1.0158,1996,9
297,1996-09-08,USDBRL,1.0192,1.0199,1.0158,1.017,1996,9
298,1996-09-15,USDBRL,1.019,1.0215,1.017,1.0215,1996,9
299,1996-09-22,USDBRL,1.0199,1.032,1.0199,1.032,1996,9
300,1996-09-29,USDBRL,1.0211,1.031,1.0203,1.031,1996,9
301,1996-10-06,USDBRL,1.028,1.031,1.027,1.0305,1996,10
302,1996-10-13,USDBRL,1.0255,1.0335,1.0225,1.0225,1996,10
303,1996-10-20,USDBRL,1.0258,1.066,1.025,1.025,1996,10
304,1996-10-27,USDBRL,1.0284,1.075,1.0263,1.0375,1996,10
305,1996-11-03,USDBRL,1.0277,1.05,1.0277,1.05,1996,11
306,1996-11-10,USDBRL,1.0501,1.0501,1.042,1.042,1996,11
307,1996-11-17,USDBRL,1.0301,1.0465,1.0301,1.0436,1996,11
308,1996-11-24,USDBRL,1.0432,1.049,1.031,1.0324,1996,11
309,1996-12-01,USDBRL,1.0308,1.0435,1.0308,1.033,1996,12
310,1996-12-08,USDBRL,1.0347,1.041,1.0346,1.041,1996,12
311,1996-12-15,USDBRL,1.0395,1.054,1.035,1.0375,1996,12
312,1996-12-22,USDBRL,1.0385,1.0535,1.0385,1.0525,1996,12
313,1996-12-29,USDBRL,1.039,1.0393,1.039,1.0392,1996,12
314,1997-01-05,USDBRL,1.0405,1.052,1.04,1.052,1997,1
