,mes,ano,ano_mes,estoque,exportacao,processamento,compra_liquida,importacao,saldo,producao,chicago_cbot_u$/t,fob_porto_paranagua_u$/t,maringa_r$/saca,mogiana_r$/saca,passofundo_r$/saca,rondonopolis_r$/saca,usdbrl
331,6,2023,2023-06-01,22376.85,13745.336737999998,4930.13,884.6000000000008,0.000239,-4045.5200000000004,8015.0,525.017153125,480.923153125,127.9,133.2,136.7,116.7,4.8791
332,7,2023,2023-07-01,18397.15,9695.932746,5099.11,1119.4200000000008,8.796478,-3979.699999999997,8015.0,557.7891,546.7656,139.75,142.875,148.0,123.125,4.872
333,8,2023,2023-08-01,15849.33,8386.951274000003,4920.9,2373.0699999999993,6.732071,-2547.8200000000015,8015.0,509.57966,550.73406,142.0,146.0,151.75,128.75,4.9059
334,9,2023,2023-09-01,13451.06,6398.078312999998,4447.34,2049.08,31.248347000000003,-2398.2700000000004,8015.0,488.66256875,526.60178125,139.1,144.9,150.6,129.3,4.9882
335,10,2023,2023-10-01,10617.56,5600.055264999998,4289.0,1455.4899999999998,28.45,-2833.5,8015.0,470.772346875,502.189321875,136.625,141.5,145.75,127.0,5.1466
336,11,2023,2023-11-01,8644.46,5196.190181999999,4238.31,2265.2100000000005,0.002525,-1973.1000000000004,8015.0,493.26488,522.21994,136.875,141.75,148.25,128.875,4.9013
337,12,2023,2023-12-01,5650.98,3828.7221759999993,4299.4,1305.94,21.4,-2993.4799999999996,8015.0,480.25715,511.4904,139.1,142.8,147.5,132.9,4.9317
338,1,2024,2024-01-01,6703.0,2854.8858300000006,3478.0,4596.0,122.542916,1052.0200000000004,15350.0,453.176085,434.656605,117.625,123.5,127.5,113.875,4.8539
339,2,2024,2024-02-01,14031.0,6608.137653999998,3652.0,10980.0,35.69365,7328.0,23025.0,427.551040625,390.806040625,110.5,115.25,119.0,104.25,4.9522
340,3,2024,2024-03-01,19841.0,12600.297224000005,4378.0,10184.0,41.97818600000001,5810.0,38375.0,433.95845,416.0452625,116.7,119.5,119.3,111.1,4.9802
341,4,2024,2024-04-01,23848.0,14687.842086999999,4353.0,8360.0,165.65,4007.0,30700.0,428.30890625,424.17509375,123.25,124.375,124.0,116.75,5.1183
342,5,2024,2024-05-01,23142.0,13436.72231100001,4289.0,3582.0,158.078129,-706.0,15350.0,446.561985,449.134135,130.7,133.3,131.1,123.0,5.1609
343,6,2024,2024-06-01,20017.0,13959.612086000016,4281.0,1156.0,141.49812,-3125.0,7675.0,430.949953125,443.167665625,132.0,135.875,135.5,126.125,5.3523
344,7,2024,2024-07-01,17397.0,11249.923995000005,4437.0,1817.0,86.77002000000002,-2620.0,7675.0,408.200205,427.675055,132.25,135.875,135.25,127.5,5.4291
345,8,2024,2024-08-01,14094.0,8041.521900999999,4368.0,1065.0,50.174977,-3303.0,7675.0,360.23879375,408.92591875,131.0,131.6,131.3,128.6,5.5079
346,9,2024,2024-09-01,11915.0,6106.462841999998,4194.0,2014.0,15.0,-2179.0,7675.0,372.3187125,431.75375,138.375,137.375,136.0,134.0,5.5988
347,10,2024,2024-10-01,9149.0,4709.986654000003,4447.0,1682.0,5.2e-05,-2766.0,7675.0,369.6730725,429.1264825,142.75,138.25,136.5,141.125,5.603
348,11,2024,2024-11-01,6693.0,2553.0338850000007,4145.0,1688.0,3.158,-2456.0,7675.0,366.163925,418.340906375,141.6,140.1,136.8,152.1,5.7378
349,12,2024,2024-12-01,3940.0,2006.0891950000002,4218.0,1466.0,0.418429,-2753.0,7675.0,358.30968125,392.29880625,136.125,135.875,135.75,129.5,6.0894
350,1,2025,2025-01-01,,1072.6666000000002,,,59.7,,17170.0,378.1979125,384.8120125,129.15,131.4,135.4,118.8,6.1053
