periodo,Chicago - CBOT (US$/t),FOB Porto - Paranaguá (US$/t),Maringá / PR - R$/saca (sem ICMS),Mogiana / SP - R$/saca (sem ICMS),Passo Fundo / RS - R$/saca (sem ICMS),Rondonopolis / MT - R$/saca (sem ICMS)
jan/01,175.6908288,175.6908288,20.19,19.57,20.94,17.83
fev/01,167.3349226,166.0855787,17.87,17.51,19.79,15.47
mar/01,163.7742924,161.5695678,16.8,18.15,18.21,14.87
abr/01,158.9973891,158.9973891,17.1,18.27,17.59,14.98
mai/01,163.4803291,163.5538199,18.81,18.97,19.3,16.32
jun/01,171.7113009,173.4750806,21.19,20.71,21.81,18.67
jul/01,188.1364992,195.8530353,25.02,24.53,25.44,22.43
ago/01,181.1548713,197.3228517,27.04,25.77,27.14,24.08
set/01,174.9081516,191.8110402,28.85,27.72,28.78,25.46
out/01,163.8845286,175.2756057,29.52,28.38,29.77,25.85
nov/01,162.4147122,162.4147122,30,29.42,29.95,25.65
dez/01,159.75067,159.75067,27.3,27.89,27.16,24.12
jan/02,159.1811161,167.908151,25.68,27.17,26.92,21.44
fev/02,161.2434523,162.4376781,22.13,22.53,24.49,18.31
mar/02,165.35,161.67546,20.45,20.67,21.63,17.7
abr/02,172.2441094,174.8622198,21.81,21.34,22.01,18.66
mai/02,177.186367,183.8005408,24.49,23.59,24.59,21.85
jun/02,184.8753441,194.1535601,28.36,27.42,29,25.27
jul/02,206.6929313,210.229677,32.11,31.66,33.08,29.46
ago/02,206.6929313,216.0630108,35.17,35.33,35.8,31.94
set/02,208.0019865,228.211962,41.28,39.58,40.98,38.18
out/02,199.858285,221.905531,45.95,44.92,46.68,43.01
nov/02,210.4593358,210.4593358,46.71,46.51,47.56,43.35
dez/02,208.2775771,208.2775771,48.67,45.64,48.98,43.13
jan/03,207.4645849,214.8136669,43.14,41.25,43.28,37.44
fev/03,209.1962123,213.6056615,42.65,39.34,43.3,35.27
mar/03,210.5466061,208.2959498,38.56,38.21,39,32.9
abr/03,220.7480506,217.8084178,36.17,36.05,35.24,31.36
mai/03,230.6693113,225.1942452,36.38,35.9,36.11,32.28
jun/03,231.1286289,232.46065,35.96,36.18,35.82,32.12
jul/03,213.3071051,222.6036938,34.78,35.13,34.79,31.3
ago/03,205.4527737,221.3910953,35.51,35.28,35.15,32.28
set/03,225.9613056,239.6949026,38.86,38.19,38.09,34.88
out/03,268.4435928,277.519709,45.14,44.12,44.74,41.38
nov/03,281.7224653,287.4180038,47.76,46.96,47.76,43.97
dez/03,281.3090794,281.3090794,46.3,45.49,47.12,41.72
jan/04,299.8609183,290.1601301,45.81,45.85,46.1,41.21
fev/04,318.2037677,290.874369,44.48,44.35,45.56,37.79
mar/04,356.2008182,317.8477965,50.18,49.76,50.71,43.53
abr/04,364.1837585,322.4777182,51,49.75,52.13,47.75
mai/04,346.4862504,290.4495002,45.5,44.32,44.01,43.75
jun/04,320.0065893,263.9698391,43.88,43.63,43.13,41.5
jul/04,274.8483177,246.554352,40.1,40.5,39.5,36.06
ago/04,215.9252155,236.8241675,38.13,38.28,38.51,34.5
set/04,210.073509,232.120755,37.3,38.75,36.63,32.83
out/04,192.7067096,216.5912261,34.3,35.5,34.6,31.64
nov/04,197.5525105,224.4225916,33.875,33.25,33.125,30.05
dez/04,195.6693083,219.0945071,32.5,33.75,32.5,29.925
jan/05,194.0616966,206.2795454,33.04,33.75,33.25,28.9
fev/05,196.7257388,208.0249524,28.3,29.25,29.25,24.425
mar/05,235.9239049,239.0472648,33.425,35.5,34.25,30.125
abr/05,227.637815,229.7200549,32.35,31.95,32.73,27.88
mai/05,236.3418839,239.6030391,30.9,30.45,31.08,26.48
jun/05,254.7191821,250.8241687,33.025,32.15,31.775,28.25
jul/05,253.8878172,254.4849301,32.8,31.15,29.775,27.125
ago/05,233.2185241,245.5282364,31.42,32.32,30.3,26.76
set/05,215.364848,238.9186558,29.325,29.275,27.95,25.225
out/05,212.3884698,237.099758,29.6,27.7,27.3,24.9
nov/05,212.498706,234.545952,29.3,26,26.7,25.1
dez/05,215.3097299,226.0393896,28.2,25.5,27.6,24.8
jan/06,218.7729848,229.2454266,29,27.625,27.375,24.95
fev/06,218.543326,236.8700992,27.5,27.6,26.3,22.1
mar/06,214.5013309,222.9527752,25.3,24.6,23.5,20
abr/06,214.3865015,225.2263974,24.83333333,23.13333333,23.23333333,19.23333333
mai/06,219.7375518,230.5162054,26.25,24.45,24.625,20.75
jun/06,216.5590738,226.2966075,27.6,26.6,25.3,22.78
jul/06,219.6456883,232.20037,26.86666667,25.66666667,25.83333333,23.56666667
ago/06,205.7926687,228.0236418,26.9,25.9,25.9,23.1
